yr	category	winner	film
2005	best lyricist	Javed Akhtar	Tere Liye
2005	best dialogue	Aditya Chopra	Veer Zara
2005	best art director colour	Sabu Cyril	Yuva
2005	best actor in a comic role	Saif Ali Khan	Hum Tum
2005	bst screenplay	Mani Ratnam	Yuva
2005	critics award best film	Mani Ratnam	Yuva
2005	best choreographer	Prabhu Deva	Main Aisa Kyon Hoon
2005	best actor in a villainous role	Priyanka Chopra	Aitraaz
2005	lifetime achievement award	Rajesh Khanna	
2005	best action	Vikram Dharma	Yuva
2005	best actor/actress critics award	Kareena Kapoor	Dev
2005	r d burman award	Kunal Ganjawala	
2005	best newcomer	Ayesha Takia	Taarzan
2005	best background music	A.R. Rahman	Swades
2005	filmfare-sony best scene award	Kunal Kohli	Hum Tum
2005	filmfare power award	Shah Rukh Khan	
2005	special awards	Naushad	
2005	best film in 50 years special mention	Govind Nihalani	Dev
2004	best film	Koi& Mil Gaya	Rakesh Roshan
2004	best director	Rakesh Roshan	Koi& Mil Gaya
2004	best actor	Hrithik Roshan	Koi& Mil Gaya
2004	best actress	Preity Zinta	Kal Ho Naa Ho
2004	best music director	Shankar-Ehsaan-Loy	
2004	best actor in a supporting role	Saif Ali Khan	Kal Ho Naa Ho
2004	best actress in a supporting role	Jaya Bachchan	Kal Ho Naa Ho
2004	best story	Nagesh Kukunoor	3 Deewarein
2004	best cinematographer colour	Aseem Bajaj	Chameli
2004	best sound recordist	Dwarak Warrier	Bhoot
2004	best editor	Shimit Amin	Bhoot
2004	best playback singer (male)	Sonu Nigam	Kal Ho Naa Ho
2004	best playback singer (female)	Shreya Ghosal	Jadu Hai Nasha Hai
2004	best lyricist	Javed Akhtar	Kal Ho Naa Ho
2004	best dialogue	Abbas Tyrewala	Munnabhai M.B.B.S
2004	best art director colour	Muneesh Sappel	Pinjar
2004	best actor in a comic role	Sanjay Dutt	Munnabhai M.B.B.S.
2004	best screenplay	Rajkumar Hirani|Vidhu Vinod Chopra|Lajan Joseph Oommen	Munnabhai M.B.B.S
2004	critics award best film	Munnbhai M.B.B.S	Rajkumar Hirani
2004	best choreographer	Farah Khan	Idhar Chala
2004	best actor in a villainous role	Irfan Khan	Haasil
2004	filmfare-raj kapoor lifetime achievement award	Sulochana	
2004	best action	Allan Amin	Qayamat
2004	best actor/actress critics award	Urmila Matondkar	Bhoot
2004	r d burman award	Vishal	Shekhar
2004	best newcomer	Priyanka Chopra	Andaz
2004	best background music	Wayne Sharp	Gangaajal
2004	filmfare-sony best scene award	Yash Johar	Kal Ho Naa Ho
2004	filmfare power award	Shah Rukh Khan	
2004	filmfare-motolook award	Saif Ali Khan	Kal Ho Naa Ho
2004	filmfare special performance award	Kareena Kapoor	Chameli
2003	best film	Devdas	
2003	best director	Sanjay Leela Bhansali	Devdas
2003	best actor	Shahrukh Khan	Devdas
2003	best actress	Aishwarya Rai	Devdas
2003	best music director	A.R. Rahman	Saathiya
2003	best actor in a supporting role	Vivek Oberoi	Company
2003	best actress in a supporting role	Madhuri Dixit	Devdas
2003	best story	Jaideep Sahni	Company
2003	best cinematographer colour	Binod Pradhan	Devdas
2003	best sound recordist	Arun Nambiar	Road
2003	best editor	Chandan Arora	Company
2003	best playback singer (male)	Sonu Nigam	Saathiya
2003	best playback singer (female)	Kavita Krishnamoorthy & Shreya Ghosal	Dola Re
2003	best lyricist	Gulzar	Saathiya
2003	best dialogue	Jaideep Sahni	Company
2003	best art director colour	Nitin Desai	Devdas
2003	best actor in a comic role	Paresh Rawal	Awara Paagal Deewana
2003	best screenplay	Mani Ratnam	Saathiya
2003	critics award best film	The Legend Of Bhagat Singh	Rajkumar Santoshi
2003	best choreographer	Saroj Khan	Dola Re
2003	best actor in a villainous role	Ajay Devgan	Deewangee
2003	filmfare-raj kapoor lifetime	Jeetendra	
2003	achievement award	Rekha	
2003	best action	Philiph Ko & Abbas Moghul	Awara Paagal Deewana
2003	best actor/actress critics award	Rani Mukherjee	Saathiya
2003	r d burman award	Shreya Ghoshal	Devdas
2003	best newcomer	Esha Deol	"Koi Mere Dil Se Poochhe, Kyaa Dil Ne Kahaa, Na Tum Jaano Na Hum"
2003	best background music	A.R. Rahman	The Legend Of Bhagat Singh
2003	filmfare-sony best scene award	Sanjay Leela Bhansali	Devdas
2003	filmfare-swiss consulate special award	Shah Rukh Khan	
2003	filmfare-british government special award	Yash Johar	
2002	best film	Lagaan	
2002	best director	Ashutosh Gowariker	Lagaan
2002	best actor	Aamir Khan	Lagaan
2002	best actress	Kajol	Kabhi Khushi Kabhie Gham
2002	best music director	A.R. Rahman	Lagaan
2002	best actor in a supporting role	Akshaye Khanna	Dil Chahta Hai
2002	best actress in a supporting role	Jaya Bachchan	Kabhi Khushi Kabhie Gham
2002	best story	Ashutosh Gowariker	Lagaan
2002	best cinematographer colour	Santosh Sivan	Asoka
2002	best sound recordist	Rakesh Ranjan	Aks
2002	best editor	A. Sreekar Prasad	Dil Chahta Hai
2002	best playback singer (male)	Udit Narayan	Mitwa
2002	best playback singer (female)	Alka Yagnik	O Re Chhori
2002	best lyricist	Javed Akhtar	Mitwa
2002	best dialogue	Karan Johar	Kahhi Khushi Kabhie Gham
2002	best art director colour	Sharmishta Roy	Kabhi Khushi Kabhie Gham
2002	best actor in a comic role	Saif Ali Khan	Dil Chahta Hai
2002	best screenplay	Farhan Akhtar	Dil Chahta Hai
2002	critics award best film	Dil Chahta Hai	Farhan Akhtar
2002	best choreographer	Farah Khan	Woh Ladki Hai Kahan
2002	best actor in a villainous role	Akshay Kumar	Ajnabee
2002	filmfare-raj kapoor lifetime	Gulzar	
2002	achievement award	Asha Parekh	
2002	best action	Tinnu Verma	Gadar
2002	best actor/actress critics award	Karisma Kapoor	Zubeidaa
2002	special award	Raveena Tandon	
2002	r d burman award	Shankar-Ehsaan-Loy	
2002	best newcomer	Bipasha Basu	Ajnabee
2002	best background music	Ranjit Barot	Aks
2002	filmfare-sony best scene award	Karan Johar	Kabhi Khushi Kabhie Gham
2002	filmfare-swiss tourism special award	Yash Chopra	
2001	best film	Kaho Naa... Pyaar Hai	
2001	best director	Rakesh Roshan	Kaho Naa... Pyaar Hai
2001	best actor	Hrithik Roshan	Kaho Naa... Pyaar Hai
2001	best actress	Karisma Kapoor	Fiza
2001	best music director	Rajesh Roshan	Kaho Naa... Pyaar Hai
2001	best actor in a supporting role	Amitabh Bachchan	Mohabbatein
2001	best actress in a supporting role	Jaya Bachchan	Fiza
2001	best story	Honey Irani	Kya Kehna
2001	best cinematographer colour	Basheer Ali	Refugee
2001	best sound recordist	Anuj Mathur	Mohabbatein
2001	best editor	Sanjay Varma	Kaho Naa... Pyaar Hai
2001	best playback singer (male)	Lucky Ali	Na Tum Jaano Na Hum
2001	best playback singer (female)	Alka Yagnik	Dil Ne Yeh Kaha Hai Dil Se
2001	best lyricist	Javed Akhtar	Panchhi Nadiyan
2001	best dialogue	O.P. Dutta	Refugee
2001	best art director colour	Sabu Cyril	Hey! Ram
2001	best actor in a comic role	Paresh Rawal	Hera Pheri
2001	best screenplay	Ravi Kapoor|Honey Irani	Kaho Naa... Pyaar Hai
2001	critics award best film	Halo	Santosh Sivan
2001	best choreographer	Farah Khan	Ek Pal Ka Jeena
2001	best actor in a villainous role	Sunil Shetty	Dhadkan
2001	filmfare-raj kapoor lifetime	Asha Bhosle	
2001	achievement award	Feroz Khan	
2001	best action	Allan Amin	Mission Kashmir
2001	best actor/actress critics award	Tabu	Astitva
2001	special award	Anu Malik	
2001	r d burman award	Sunidhi Chauhan	
2001	best newcomer	Kareena Kapoor	Refugee
2001	best background music	Sandeep Chowtha	Jungle
2001	filmfare-sony best scene award	Aditya Chopra	Mohabbatein
2000	best film	Hum Dil De Chuke Sanam	
2000	best director	Sanjay Leela Bhansali	Hum Dil De Chuke Sanam
2000	best actor	Sanjay Dutt	Vaastav
2000	best actress	Aishwarya Rai	Hum Dil De Chuke Sanam
2000	best music director	A.R. Rahman	Taal
2000	best actor in a supporting role	Anil Kapoor	Taal
2000	best actress in a supporting role	Sushmita Sen	Biwi No.1
2000	best story	Vinay Shukla	God Mother
2000	best cinematographer colour	Kabir Lal	Taal
2000	best sound recordist	Rakesh Ranjan	Taal
2000	best editor	Jethu Mundal	Sarfarosh
2000	best playback singer (male)	Udit Narayan	Chand Chhupa Badal Mein
2000	best playback singer (female)	Alka Yagnik	Taal Se Taal Mila
2000	best lyricist	Anand Bakshi	Ishq Bina Kya Jeena Yaaron
2000	best dialogue	Hriday Lani|Pathik Vats	Sarfarosh
2000	best art director colour	Nitin Desai	Hum Dil De Chuke Sanam
2000	best actor in a comic role	Govinda	Haseena Maan Jaayegi
2000	best documentary	Not Awarded	
2000	best screenplay	John M. Matthan	Sarfarosh
2000	critics award best film	Sarfarosh	John Mathew Matthan
2000	sensational debut	Not Awarded	
2000	best choreographer	Saroj Khan	Nimbooda Nimbooda
2000	filmfare award on compleing 25 years in film acting	Not Awarded	
2000	best actor in a villainous role	Ashutosh Rana	Sangharsh
2000	outstanding performance in a non-commercial film	Not Awarded	
2000	filmfare-raj kapoor lifetime	Vinod Khanna	
2000	achievement award	Hema Malini	
2000	best action	Tinnu Verma	Arjun Pandit
2000	best performance critics award	Tabu	Hu Tu Tu
2000	special award	Not Awarded	
2000	r d burman award	Ismail Darbar	
2000	best newcomer	Rahul Khanna Earth: 1947	
2000	special veterans award	Not Awarded	
2000	best background music	Anjan Biswas	Hum Dil De Chuke Sanam
2000	award on the completion of 50 years of the r.k. banner	Not Awarded	
2000	filmfare-sony best scene award	Mahesh Manjrekar	Vaastav
2000	superstar of the millennium award	Amitabh Bachchan	1999
1999	best film	Kuch Kuch Hota Hai	
1999	best director	Karan Johar	Kuch Kuch Hota Hai
1999	best actor	Shahrukh Khan	Kuch Kuch Hota Hai
1999	best actress	Kajol	Kuch Kuch Hota Hai
1999	best music director	A.R. Rahman	Dil Se
1999	best actor in a supporting role	Salman Khan	Kuch Kuch Hota Hai
1999	best actress in a supporting role	Rani Mukherjee	Kuch Kuch Hota Hai
1999	best story	Mahesh Bhatt	Zakhm
1999	best cinematographer colour	Santosh Sivan	Dil Se
1999	best sound recordist	H. Sridhar	Satya
1999	best editor	Apurva Asrani And Bhanu Daya	Satya
1999	best playback singer (male)	Sukhwindera Singh	Chhaiyaan Chhaiyaan
1999	best playback singer (female)	Jaspinder Narula	Pyaar To Hona Hi Tha
1999	best lyricist	Gulzar	Chhaiyaan Chhaiyaan
1999	best dialogue	Rajkumar Santoshi|K.K. Raina	China Gate
1999	best art director colour	Sharmistha Roy	Kuch Kuch Hota Hai
1999	best actor in a comic role	Johnny Lever	Dulhe Raja
1999	best documentary	Not Awarded	
1999	best screenplay	Karan Johar	Kuch Kuch Hota Hai
1999	critics award best film	Satya	Ramgopal Varma
1999	sensational debut	Not Awarded	
1999	best choreographer	Farah Khan	Chhaiyan Chhaiyan
1999	filmfare award on compleing 25 years in film acting	Not Awarded	
1999	best actor in a villainous role	Ashutosh Rana	Dushman
1999	outstanding performance in a non-commercial film	Not Awarded	
1999	filmfare-raj kapoor lifetime	Manoj Kumar	
1999	achievement award	Helen	
1999	best action	Akbar Bakshi	Soldier
1999	best performance critics award	Sehfali Chhaya	Satya
1999	special award	Shekhar Kapur	
1999	r d burman award	Kamaal Khan	
1999	best newcomer	Preity Zinta	"Dil Se, Soldier"
1999	special veterans award	Not Awarded	
1999	best background music	Sandeep Chowtha	Satya
1999	award on the completion of 50 years of the r.k. banner	Not Awarded	
1999	filmfare-sony best scene award	Vikram Bhatt	Ghulam
1998	best film	Dil To Pagal Hai	
1998	best director	J.P. Dutta	Border
1998	best actor	Shahrukh Khan	Dil To Pagal Hai
1998	best actress	Madhuri Dixit	Dil To Pagal Hai
1998	best music director	Uttam Singh	Dil To Pagal Hai
1998	best actor in a supporting role	Amrish Puri	Virasat
1998	best actress in a supporting role	Karisma Kapoor	Dil To Pagal Hai
1998	best story	Kamal Haasan	Virasat
1998	best cinematographer colour	Ravi K. Chandran	Virasat
1998	best sound recordist	Vinod Potdar	Border
1998	best editor	Rajiv Rai	Gupt
1998	best playback singer (male)	Abhijeet	Main Koi Aisa Geet Gaoon
1998	best playback singer (female)	Alka Yagnik	Meri Mehbooba
1998	best lyricist	Javed Akhtar	Sandese Aate Hain
1998	best dialogue	Aditya Chopra	Dil To Pagal Hai
1998	best art director colour	Sharmishta Roy	Dil To Pagal Hai
1998	best actor in a comic role	Johnny Lever	Deewana Mastana
1998	best documentary	Not Awarded	
1998	best screenplay	Subhash Ghai	Pardes
1998	critics award best film	Virasat	Priyadarshan
1998	sensational debut	Not Awarded	
1998	best choreographer	Farah Khan	Dhol Bajne Laga
1998	filmfare award on compleing 25 years in film acting	Rishi Kapoor	
1998	best actor in a villainous role	Kajol	Gupt
1998	outstanding performance in a non-commercial film	Not Awarded	
1998	filmfare-raj kapoor lifetime achievement award	Sharmila Tagore	
1998	best action	Bhiku Verma And Tinnu Verma	Border
1998	best performance critics award	Tabu	Virasat
1998	special award	Jaya Bachchan	
1998	r d burman award	Karthik Raja	
1998	best newcomer	Mahima Chaudhary	Pardes
1998	special veterans award	Pran	
1998	best background music	Viju Shah	Gupt
1998	award on the completion of 50 years of the r.k. banner	Rajiv Kapoor	
1997	best film	Raja Hindustani	
1997	best director	Shekhar Kapur	Bandit Queen
1997	best actor	Aamir Khan	Raja Hindustani
1997	best actress	Karisma Kapoor	Raja Hindustani
1997	best music director	Nadeem-Shravan	
1997	best actor in a supporting role	Amrish Puri	Ghatak
1997	best actress in a supporting role	Rekha	Khiladiyon Ka Khiladi
1997	best story	Gulzar	Maachis
1997	best cinematographer colour	Ashok Mehta	Bandit Queen
1997	best sound recordist	Jitendra Chaudhury	Khamoshi: The Musical
1997	best editor	V.N. Mayekar	Ghatak
1997	best playback singer (male)	Udit Narayan	Pardesi Pardesi
1997	best playback singer (female)	Kavita Krishnamoorthy	Aaj Main Upar
1997	best lyricist	Javed Akhtar	Ghar Se Nikalte Hi
1997	best dialogue	Gulzar	Maachis
1997	best art director colour	Nitin Desai	Khamoshi: The Musical
1997	best actor in a comic role	Satish Kaushik	Saajan Chale Sasural
1997	best documentary	Goutam Ghose	Beyond The Himalayas
1997	best screenplay	Rajkumar Santoshi	Ghatak
1997	critics award best film	Khamoshi: The Musical	Sanjay Leela Bhansali
1997	sensational debut	Not Awarded	
1997	best choreographer	Chinni Prakash	Shaher Ki Ladki
1997	filmfare award on compleing 25 years in film acting	Not Awarded	
1997	best actor in a villainous role	Arbaaz Khan	Daraar
1997	outstanding performance in a non-commercial film	Not Awarded	
1997	filmfare-raj kapoor lifetime	Mumtaz	
1997	achievement award	Dharmendra	
1997	best action	Akbar Bakshi	Khiladiyon Ka Khiladi
1997	best performance critics award	Manisha Koirala	Khamoshi: The Musical
1997	special award	Govinda	
1997	r d burman award	Vishal Bharadwaj	
1997	best newcomer	Chandrachur Singh	"Maachis, Tere Mere Sapne"
1996	best film	Dilwale Dulhania Le Jayenge	
1996	best director	Aditya Chopra	Dilwale Dulhania Le Jayenge
1996	best actor	Shahrukh Khan	Dilwale Dulhania Le Jayenge
1996	best actress	Kajol	Dilwale Dulhania Le Jayenge
1996	best music director	A.R. Rahman	Rangeela
1996	best actor in a supporting role	Jackie Shroff	Rangeela
1996	best actress in a supporting role	Farida Jalal	Dilwale Dulhania Le Jayenge
1996	best story	Ram Gopal Varma	Rangeela
1996	best cinematographer colour	Santosh Sivan	Barsaat
1996	best sound recordist	Rakesh Ranjan	Barsaat
1996	best editor	Sanjay Varma	Karan Arjun
1996	best playback singer (male)	Udit Narayan	Mehndi Lagake Rakhna
1996	best playback singer (female)	Kavita Krishnamoorthy	Mera Piya Ghar Aaya
1996	best lyricist	Anand Bakshi	Tujhe Dekha
1996	best dialogue	Aditya Chopra|Javed Siddique	Dilwale Dulhania Le Jayenge
1996	best art director colour	Bijon Das Gupta	Prem
1996	best actor in a comic role	Anupam Kher	Dilwale Dulhania Le Jayenge
1996	best documentary	A Narmada Diary	Anand Patwardhan & Simantini Dhuru
1996	best screenplay	Aditya Chopra	Dilwale Dulhania Le Jayenge
1996	critics award best film	Bombay	Mani Ratnam
1996	sensational debut	Not Awarded	
1996	best choreographer	Ahmed Khan	Rangeela Re
1996	filmfare award on compleing 25 years in film acting	Not Awarded	
1996	filmfare-raj kapoor lifetime achievement award	Vyjayanthimala	
1996	best actor in a villainous role	Mithun Chakraborty	Jallad
1996	outstanding performance in a non-commercial film	Not Awarded	
1996	best action	Bhiku Varma	Karan Arjun
1996	best performance critics award	Manisha Koirala	Bombay
1996	special award	Asha Bhosle	
1996	r d burman award	Mehboob	
1996	best costume designer	Manish Mlhotra	Rangeela
1996	best newcomer male	Bobby Deol	Barsaat
1996	best newcomer female	Twinkle Khanna	Barsaat
1995	best film	Hum Aapke Hain Koun..!	
1995	best director	Sooraj Barjatya	Hum Aapke Hain Koun..!
1995	best actor	Nana Patekar	Krantiveer
1995	best actress	Madhuri Dixit	Hum Aapke Hain Koun..!
1995	best music director	R.D. Burman	1942 A Love Story
1995	best actor in a supporting role	Jackie Shroff	1942 A Love Story
1995	best actress in a supporting role	Dimple Kapadia	Krantiveer
1995	best story	K.K. Singh	Krantiveer
1995	best cinematographer colour	Binod Pradhan	1942 A Love Story
1995	best sound recordist	Jitendra Chaudhary/Namita Nayak	1942 A Love Story
1995	best editor	Renu Saluja	1942 A Love Story
1995	best playback singer (male)	Kumar Sanu	Ek Ladki Ko Dekha
1995	best playback singer (female)	Kavita Krishnamoorty	Pyar Hua Chupke Se
1995	best lyricist	Javed Akhtar	Ek Ladki Ko Dekha
1995	best dialogue	K.K. Singh	Krantiveer
1995	best art director colour	Nitin Desai	1942 A Love Story
1995	best actor in a comic role	Shakti Kapoor	Raja Babu
1995	best documentary	Manzar	Gopi Desai
1995	best screenplay	Sooraj Barjatya	Hum Aapke Hain Koun..!
1995	critics award best film	Bandit Queen	Shekhar Kapur
1995	sensational debut	Sonali Bendre	Naaraz
1995	best choreographer	Chinni Prakash	Tu Cheez Badi Hai
1995	filmfare award on compleing 25 years in film acting	Not Awarded	
1995	best actor in a villainous role	Shah Rukh Khan	Anjaam
1995	outstanding performance in a non-commercial film	Not Awarded	
1995	filmfare-raj kapoor lifetime	Shammi Kapoor	
1995	achievement award	Waheeda Rehman	
1995	best action	Ravi Dewan	Anth
1995	best performance critics award	Farida Jalal	Mammo
1995	special award	Lata Mangeshkar	
1995	r d burman award	A.R. Rahman	
1994	best film	Hum Hain Rahi Pyar Ke	
1994	best director	Rajkumar Santoshi	Damini
1994	best actor	Shahrukh Khan	Baazigar
1994	best actress	Juhi Chawla	Hum Hain Rahi Pyar Ke
1994	best music director	Anu Malik	Baazigar
1994	best actor in a supporting role	Sunny Deol	Damini
1994	best actress in a supporting role	Amrita Singh	Aaina
1994	best story	Sutanu Gupta	Damini
1994	best cinematographer colour	Manmohan Singh	Darr
1994	best sound recordist	Rakesh Ranjan	Damini
1994	best playback singer (male)	Kumar Sanu	Yeh Kaali Kaali Aankhen
1994	best playback singer (female)	Ila Arun/Alka Yagnik	Choli Ke Peechhe Kya Hai
1994	best lyricist	Sameer	Ghunghat Ki Aad Se
1994	best dialogue	Prof. Jay Dixit	Sir
1994	best art director colour	Saboo Syril	Gardish
1994	best actor in a comic role	Anupam Kher	Darr
1994	best documentary	I Live In Behrampada	Madhushree Datta
1994	best screenplay	Robin Bhatt|Javed Siddique|Akash Khurana	Baazigar
1994	critics award best film	Kabhi Haan Kabhi Naa	Kundan Shah
1994	sensational debut	Mamta Kulkarni	Ashique Awara
1994	best choreographer	Saroj Khan	Choli Ke Peechhe
1994	filmfare award on compleing 25 years in film acting	Not Awarded	
1994	filmfare-raj kapoor lifetime achievement award	Lata Mangeshkar	
1994	best actor in villainous role	Paresh Rawal	Sir
1994	outstanding performance in a non-commercial film	Not Awarded	
1994	best action	Tyagarajan	Gardish
1994	best performance critics award	Shah Rukh Khan	Kabhi Haan Kabhi Naa
1993	best film	Jo Jeeta Wohi Sikandar	
1993	best director	Mukul Anand	Khuda Gawah
1993	best actor	Anil Kapoor	Beta
1993	best actress	Madhuri Dixit	Beta
1993	best music director	Nadeem-Shravan	
1993	best actor in a supporting role	Danny Dengzongpa	Khuda Gawah
1993	best actress in a supporting role	Aruna Irani	Beta
1993	best story	Not Awarded	
1993	best cinematographer colour	S.Kumar	Muskurahat
1993	best sound recordist	Bhagat Singh Rathod And Kuldeep Sood	Khuda Gawah
1993	best editor	Zafar Sultan And Dilip Katalgi	Jo Jeeta Wohi Sikandar
1993	best playback singer (male)	Kumar Sanu	Sochenge Tumhe
1993	best playback singer (female)	Anuradha Paudwal	Dhak Dhak Karne Laga
1993	best lyricist	Sameer	Teri Umeed Tera Intezar
1993	best dialogue	Kader Khan	Angaar
1993	best art director colour	R. Varman	Angaar
1993	best actor in a comic role	Anupam Kher	Khel
1993	best documentary	All In The Family	Ketan Mehta
1993	best screenplay	Manoj Lalwani|Aziz Mirza	Raju Ban Gaya Gentleman
1993	critics award best film	Idiot	Mani Kaul
1993	sensational debut	Divya Bharati	Deewane
1993	best choreographer	Saroj Khan	Dhak Dhak
1993	filmfare award on compleing 25 years in film acting	Not Awarded	
1993	filmfare-raj kapoor lifetime achievement award	Dev Anand	
1993	best actor in a villainour role	Nana Patekar	Angaar
1993	outstanding performance in a non-commercial film	Not Awarded	
1993	best action	Tinnu Verma	Khuda Gawah
1993	best performance critics award	Dimple Kapadia	Rudaali
1992	best film	Lamhe	
1992	best director	Subhash Ghai	Saudagar
1992	best actor	Amitabh Bachchan	Hum
1992	best actress	Sridevi	Lamhe
1992	best music director	Nadeem-Shravan	
1992	best actor in a supporting role	Danny Dengzongpa	Sanam Bewafa
1992	best actress in a supporting role	Farida Jalal	Henna
1992	best story	Honey Irani	Lamhe
1992	best cinematographer colour	Radhu Karmakar	Henna
1992	best sound recordist	S.C. Bhambri	Patthar Ke Insaan
1992	best editor	Guru Dutt Shirali & Waman Bhosle	Saudagar
1992	best playback singer (male)	Kumar Sanu	Mera Dil Bhi
1992	best playback singer (female)	Anuradha Paudwal	Dil Hai Ke Manta Nahin
1992	best lyricist	Gulzar	Yaara Seeli Seeli
1992	best dialogue	Dr Rahi Mazoom Reza	Lamhe
1992	best art director colour	R. Varman	Hum
1992	best actor in a comic role	Anupam Kher	Lamhe
1992	best documentary	Raam Ke Naam	Anand Patwardhan
1992	best screenplay	Tapan Sinha	Ek Doctor Ki Maut
1992	critics award best film	Diksha	Arun Kaul
1992	filmfare award on completing 25	Not Awarded	
1992	sensational debut	Raveena Tandon	Patthar Ke Phool
1992	best choreographer	Chinni Prakash	Jumma Chumma
1992	best actor in a villainous role	Sadashiv Amrapurkar	Sadak
1992	outstanding performance in a non-commercial film	Dimple Kapadia	Drishti
1992	best action	Veeru Devgan	Phool Aur Kaante
1991	best film	Ghayal	
1991	best director	Rajkumar Santoshi	Ghayal
1991	best actor	Sunny Deol	Ghayal
1991	best actress	Madhuri Dixit	Dil
1991	best music director	Nadeem-Shravan	
1991	best actor in a supporting role	Mithun Chakraborty	Agneepath
1991	best actress in a supporting role	Rohini Hattangady	Agneepath
1991	best story	Rajkumar Santoshi	Ghayal
1991	best cinematographer colour	Rajan Kothari	Ghayal
1991	best sound recordist	E. Rudra	Azaad Desh Ke Ghulam
1991	best editor	V.N. Mayekar	Ghayal
1991	best playback singer (male)	Kumar Sanu	Ab Tere Bin
1991	best playback singer (female)	Anuradha Paudwal	Nazar Ke Samne
1991	best lyricist	Sameer	Nazar Ke Samne
1991	best dialogue	Suraj Sanim	Daddy
1991	best art director colour	Nitish Roy	Ghayal
1991	best actor in a comic role	Kader Khan	Baap Numbri Beta Dus Numbri
1991	best documentary	Amjad Ali Khan	Gulzar
1991	best screenplay	Basu Chatterji	Kamla Ki Maut
1991	critics award best film	Kasba	Kumar Shahani
1991	sensational debut	Pooja Bhatt	Daddy
1991	best choreographer	Saroj Khan	Hum Ko Aaj Kal Hai
1991	filmfare award on completing 25 years in film acting	Not Awarded	
1991	filmfare-raj kapoor lifetime achievement award	Ambitabh Bachchan	
1991	outstanding performance in a non-commercial film	Anupam Kher	Daddy
1990	best film	Maine Pyar Kiya	
1990	best director	Vidhoo Vinod Chopra	Parinda
1990	best actor	Jackie Shroff	Parinda
1990	best actress	Sridevi	Chaalbaaz
1990	best music director	Raamlaxman	Maine Pyar Kiya
1990	best actor in a supporting role	Nana Patekar	Parinda
1990	best actress in a supporting role	Raakhee	Ram Lakhan
1990	best story	K. Vishwanath	Eeshwar
1990	best cinematographer colour	Manmohan Singh	Chandni
1990	best sound recordist	B.V. Chaturvedi	Tridev
1990	best editor	Renu Saluja	Parinda
1990	best playback singer (male)	S.P. Balasubramaniam	Dil Deewana Bin Sajna Ke
1990	best playback singer (female)	Sapna Mukherjee	"Oye Oye, Tirchhi Topiwale"
1990	best lyricist	Asad Bhopali	Dil Deewana Bin Sajna Ke
1990	best dialogue	Javed Akhtar	Main Azaad Hoon
1990	best art director colour	Not Awarded	
1990	best actor in a comic role	Anupam Kher And Satish Kaushik	Ram Lakhan
1990	best documentary	Not Awarded	
1990	best screenplay	Shivkumar Subramaniam|Vinod Chopra	Parinda
1990	critics award best film	Khayal Gatha	Kumar Shahani
1990	sensational debut	Bhagyashree	Maine Pyaar Kiya
1990	best choreographer	Saroj Khan	Na Jaane Kahan Se
1990	filmfare award on completing 25years in film acting	Rajesh Khanna	
1989	best film	Qayamat Se Qayamat Tak	
1989	best director	Mansoor Khan	Qayamat Se Qayamat Tak
1989	best actor	Anil Kapoor	1988Tezaab
1989	best actress	Rekha	Khoon Bhari Maang
1989	best music director	Anand	Milind
1989	best actor in a supporting role	Anupam Kher	Vijay
1989	best actress in a supporting role	Sonu Walia	Khoon Bhari Maang
1989	best story	Subodh Ghosh	Ijaazat
1989	best cinematographer colour	Kiran Deohans	Qayamat Se Qayamat Tak
1989	best sound recordist	J.P. Sehgal	Hatya
1989	best editor	Sanjay Varma	Khoon Bhari Maang
1989	best playback singer (male)	Udit Narayan	Papa Kehte Hain
1989	best playback singer (female)	Alka Yagnik	Ek Do Teen
1989	best lyricist	Gulzar	Mera Kuchh Saaman
1989	best dialogue	Kamlesh Pandey	Tezaab
1989	best art director colour	Liladhar S. Sawant	Hatya
1989	best actor in a comic role	Not Awarded	
1989	best documentary	Siddeswari	Mani Kaul
1989	best screenplay	Nasir Husain	Qayamat Se Qayamat Tak
1989	critics award best film	Om	Dar
1989	sensational debut	Aamir Khan	Qayamat Se Qayamat Tak
1989	best choreographer	Saroj Khan	Ek Do Teen
1986	best film	Ram Teri Ganga Maili	
1986	best director	Raj Kapoor	Ram Teri Ganga Maili
1986	best actor	Kamal Haasan	Saagar
1986	best actress	Dimple Kapadia	Saagar
1986	best music director	Ravindra Jain	Ram Teri Ganga Maili
1986	best actor in a supporting role	Amrish Puri	Meri Jung
1986	best actress in a supporting role	Nutan	Meri Jung
1986	best story	Dr. Aleem Masroor	Tawaif
1986	best cinematographer colour	S.M. Anwar	Saagar
1986	best sound recordist	A. Radha Swamy	Shiva Ka Insaaf
1986	best editor	Raj Kapoor	Ram Teri Ganga Maili
1986	best playback singer (male)	Kishore Kumar	Saagar Kinare
1986	best playback singer (female)	Anuradha Paudwal	Mere Man Baje Mridang
1986	best lyricist	Vasant Dev	Dil Kyon Bekha
1986	best dialogue	Dr Rahi Masoom Reza	Tawaif
1986	best art director colour	Suresh J. Sawant	Ram Teri Ganga Maili
1986	best actor in a comic role	Amjad Khan	Maa Kasam
1986	best documentary	Bombay Our City	Anand Patwardhan
1986	best screenplay	Goutam Ghose|Partho Mukherji	Paar
1986	critics award best film	Aaghat	Govind Nihalani
1985	best film	Sparsh	
1985	best director	Sai Paranjpye	Sparsh
